stop_id,stop_name,stop_lat,stop_lon,date_opened,date_opened_min,date_opened_max,date_precision,date_closed
ITHS01097,Filottrano,43.4344529,13.3483604,19130101,19130101,19130101,exact,
ITHS01098,Finale Emilia,44.8345740,11.2939050,18990101,18860101,18990101,window_1886_1899,
ITHS01099,Finale Ligure-Marina,44.169116,8.34033,19000101,19000101,19000101,exact,
ITHS01100,Finalmarina,44.1694562,8.3450155,18760101,,18760101,open_by_1876,
ITHS01101,Fino Mornasco,45.746539530325,9.0470655637214,18990101,18860101,18990101,window_1886_1899,
ITHS01102,Fiorenzuola,44.928716,9.917403,18760101,,18760101,open_by_1876,
ITHS01103,Firenze,43.7697955,11.2556404,18760101,,18760101,open_by_1876,
ITHS01104,Firenze Campo di Marte,43.776856,11.27702,18990101,18860101,18990101,window_1886_1899,
ITHS01105,Firenze Porta al Prato,43.778308932201,11.238102665556,19310101,19150101,19310101,window_1915_1931,
ITHS01106,Firenze Rifredi,43.800873,11.235729,18990101,18860101,18990101,window_1886_1899,
ITHS01107,Firenze Santa Maria Novella,43.776893,11.247373,19310101,19150101,19310101,window_1915_1931,
ITHS01108,Fisciano,40.759095,14.77486,19030101,19030101,19030101,exact,
ITHS01109,Fiumefreddo,39.2347925,16.0671836,18850101,18770101,18850101,window_1877_1885,
ITHS01110,Fiumelatte,45.999017,9.292857,18990101,18860101,18990101,window_1886_1899,
ITHS01111,Fiumetorto,37.966939,13.774781,19310101,19150101,19310101,window_1915_1931,
ITHS01112,Fiumicino Aeroporto,41.793673,12.251728,19000101,19000101,19000101,exact,
ITHS01113,Fivizzano-Gassano,44.202672,10.091691,18990101,18860101,18990101,window_1886_1899,
ITHS01114,Flecchia,45.6711563,8.1933214,19090101,19090101,19090101,exact,
ITHS01115,Foggia,41.466,15.555816,18760101,,18760101,open_by_1876,
ITHS01116,Fogliano,42.7322950,13.0456218,18850101,18770101,18850101,window_1877_1885,
ITHS01117,Fognano,44.20333876312,11.727676716105,18990101,18860101,18990101,window_1886_1899,
ITHS01118,Foligno,42.954261,12.711096,18760101,,18760101,open_by_1876,
ITHS01119,Follonica,42.926687,10.755775,18760101,,18760101,open_by_1876,
ITHS01120,Fondi Sperlonga,41.337663,13.424893,18990101,18860101,18990101,window_1886_1899,
ITHS01121,Fontana Liri,41.618254169437,13.561839341973,19070101,19070101,19070101,exact,
ITHS01122,Fontanafredda,45.967555,12.575266,19120101,19120101,19120101,exact,
ITHS01124,Fontanetto Po,45.191238,8.188697,18990101,18860101,18990101,window_1886_1899,
ITHS01125,Fontaniva,45.634723,11.749038,18760101,,18760101,open_by_1876,
ITHS01127,Fontebuona,43.91751,11.265553,19100101,19100101,19100101,exact,
ITHS01128,Fontecchio,42.222822,13.604445,18760101,,18760101,open_by_1876,
ITHS01129,Forenza,40.866839,15.725331,18990101,18860101,18990101,window_1886_1899,
ITHS01130,Forlì,44.22413,12.054871,18760101,,18760101,open_by_1876,
ITHS01131,Forli,44.22413,12.054871,18990101,18860101,18990101,window_1886_1899,
ITHS01132,Forlimpopoli,44.1873049,12.1259056,18760101,,18760101,open_by_1876,
ITHS01133,Formia Gaeta,41.258773,13.605996,18990101,18860101,18990101,window_1886_1899,
ITHS01134,Formigine,0.0,4.5112561156128,18990101,18860101,18990101,window_1886_1899,
ITHS01135,Formigne,0.0,4.5112561156128,18850101,18770101,18850101,window_1877_1885,
ITHS01136,Fornello,45.0153956,9.3846640,18990101,18860101,18990101,window_1886_1899,
ITHS01137,Forno d'Allione,46.090030277047,10.314949624741,19100101,19100101,19100101,exact,
ITHS01138,Fornovo,44.693791,10.102014,18850101,18770101,18850101,window_1877_1885,
ITHS01139,Fosdondo,44.7741228,10.7326184,18990101,18860101,18990101,window_1886_1899,
ITHS01140,Fossacesia,42.235097,14.524255,18760101,,18760101,open_by_1876,
ITHS01141,Fossalta,45.5766678,12.0036100,18990101,18860101,18990101,window_1886_1899,
ITHS01142,Fossano,44.550231,7.717971,18760101,,18760101,open_by_1876,
ITHS01143,Fossato di Vico Gubbio,43.283798,12.757258,18990101,18860101,18990101,window_1886_1899,
ITHS01144,Fossombrone,43.6578748,12.8038225,18990101,18860101,18990101,window_1886_1899,
ITHS01145,Fragneto,41.4774954,14.5275267,18850101,18770101,18850101,window_1877_1885,
ITHS01146,Framura,44.201903,9.555169,18760101,,18760101,open_by_1876,
ITHS01147,Francavilla a mare,42.421316,14.288062,18760101,,18760101,open_by_1876,
ITHS01148,Francavilla Angitola,38.7799264,16.2728427,18990101,18860101,18990101,window_1886_1899,
ITHS01149,Francavilla Fontana,40.523145,17.584714,18990101,18860101,18990101,window_1886_1899,
ITHS01150,Francofonte,37.2307167,14.8802768,19130101,19130101,19130101,exact,
ITHS01151,Franzensfeste Fortezza,46.7972588,11.5557984,18990101,18860101,18990101,window_1886_1899,
ITHS01153,Frascati,41.806881,12.677962,18760101,,18760101,open_by_1876,
ITHS01154,Frassineto,46.5641532,11.2654924,18990101,18860101,18990101,window_1886_1899,
ITHS01155,Frasso Dugenta,41.1371791,14.4594924,18850101,18770101,18850101,window_1877_1885,
ITHS01156,Fratta,45.038673,11.642598,18760101,,18760101,open_by_1876,
ITHS01158,Fratta Polesine,45.0236959,11.6423388,18850101,18770101,18850101,window_1877_1885,
ITHS01159,Frattarolo,41.58364,15.861727,19050101,19050101,19050101,exact,
ITHS01160,Fratte di Salerno,40.6993059,14.7755075,18990101,18860101,18990101,window_1886_1899,
ITHS01163,Fresonara,44.7810956,8.6908758,19110101,19110101,19110101,exact,
ITHS01164,Frontone,43.5133959,12.7350290,18990101,18860101,18990101,window_1886_1899,
ITHS01165,Frosinone,41.625333,13.328728,18760101,,18760101,open_by_1876,
ITHS01166,Frugarolo,44.8371510,8.6815480,18760101,,18760101,open_by_1876,
ITHS01167,Frugarolo Bosco Marengo,44.841687,8.682724,19310101,19150101,19310101,window_1915_1931,
ITHS01168,Fuorigrotta,40.8279208,14.2017898,18990101,18860101,18990101,window_1886_1899,
ITHS01170,Furci,37.961714,15.380022,18990101,18860101,18990101,window_1886_1899,
ITHS01171,Fuscaldo,39.409692,16.011475,18990101,18860101,18990101,window_1886_1899,
ITHS01172,Gaeta,41.2183120,13.5628100,18990101,18860101,18990101,window_1886_1899,
ITHS01173,Gaggiano,45.408827,9.031117,18760101,,18760101,open_by_1876,
ITHS01174,Gaggio,45.551893,12.326027,18850101,18770101,18850101,window_1877_1885,
ITHS01175,Gagliano Leuca,39.8505351,18.3594873,19030101,19030101,19030101,exact,
ITHS01176,Gagliole,43.220298,13.07522,18990101,18860101,18990101,window_1886_1899,
ITHS01177,Gaifana,43.181837,12.784148,19100101,19100101,19100101,exact,
ITHS01178,Gaiofana,43.181837,12.784148,19100101,19100101,19100101,exact,
ITHS01179,Gairo Taquisara,39.8576087,9.4655292,18990101,18860101,18990101,window_1886_1899,
ITHS01180,Galati,38.104511,15.505313,18760101,,18760101,open_by_1876,
ITHS01181,Galatina,0.0,4.5112561156128,18850101,18770101,18850101,window_1877_1885,
ITHS01182,Galatone,0.0,4.5112561156128,18850101,18770101,18850101,window_1877_1885,
ITHS01184,Galdo,40.569272,15.355627,18990101,18860101,18990101,window_1886_1899,
ITHS01185,Gallarate,45.659828,8.798243,18760101,,18760101,open_by_1876,
ITHS01187,Gallese,42.3732869,12.4028042,18760101,,18760101,open_by_1876,
ITHS01188,Galliate,45.481170972975,8.6912971714431,18990101,18860101,18990101,window_1886_1899,
ITHS01189,Gallico,38.1665020,15.6460698,18850101,18770101,18850101,window_1877_1885,
ITHS01190,Galliera,44.737738,11.441551,18760101,,18760101,open_by_1876,
ITHS01191,Gallipoli,0.0,4.5112561156128,18990101,18860101,18990101,window_1886_1899,
ITHS01192,Galugnano,0.0,4.5112561156128,18760101,,18760101,open_by_1876,
ITHS01193,Gamalero,44.817476,8.543427,18760101,,18760101,open_by_1876,
ITHS01194,Gamaliero,44.817476,8.543427,18850101,18770101,18850101,window_1877_1885,
ITHS01195,Gambatesa,41.5098892,14.9120522,19140101,19140101,19140101,exact,
ITHS01196,Gambettola,44.116718,12.327555,18760101,,18760101,open_by_1876,
ITHS01197,Gambolò-Remondò,45.23587,8.79757,18990101,18860101,18990101,window_1886_1899,
ITHS01198,Garbagna Novarese,45.3925984,8.6562586,18990101,18860101,18990101,window_1886_1899,
ITHS01199,Garbagnate milanese,45.580004805934,9.0802526897463,18990101,18860101,18990101,window_1886_1899,
ITHS01200,Garessio,44.199088,8.015214,18990101,18860101,18990101,window_1886_1899,
ITHS01201,Garlasco,45.198948,8.926829,18850101,18770101,18850101,window_1877_1885,
ITHS01202,Gattinara,45.611523,8.364288,19050101,19050101,19050101,exact,
ITHS01203,Gavardo,45.5846274,10.4382370,18990101,18860101,18990101,window_1886_1899,
ITHS01204,Gavirate,45.845605836111,8.7148648541219,18990101,18860101,18990101,window_1886_1899,
