route_id,agency_id,valid_from,valid_to,region,source,confidence
ferrovia_udine_trieste,UNKNOWN_RM_RA,18850101,19050101,MAIN,rule,low
ferrovia_udine_trieste,FS,19050101,,MAIN,rule,high
ferrovia_varese_porto_ceresio,UNKNOWN_RM_RA,18940101,19050101,MAIN,rule,low
ferrovia_varese_porto_ceresio,FS,19050101,20090101,MAIN,rule,high
ferrovia_venezia_trieste,UNKNOWN_RM_RA,18850101,19050101,MAIN,rule,low
ferrovia_venezia_trieste,FS,19050101,,MAIN,rule,high
ferrovia_venezia_udine,UNKNOWN_PRE1885,18510101,18850101,MAIN,rule,low
ferrovia_venezia_udine,UNKNOWN_RM_RA,18850101,19050101,MAIN,rule,low
ferrovia_venezia_udine,FS,19050101,,MAIN,rule,high
ferrovia_vercelli_pavia,UNKNOWN_PRE1885,18820101,18850101,MAIN,rule,low
ferrovia_vercelli_pavia,UNKNOWN_RM_RA,18850101,19050101,MAIN,rule,low
ferrovia_vercelli_pavia,FS,19050101,,MAIN,rule,high
ferrovia_verona_modena,UNKNOWN_PRE1885,18510101,18850101,MAIN,rule,low
ferrovia_verona_modena,UNKNOWN_RM_RA,18850101,19050101,MAIN,rule,low
ferrovia_verona_modena,FS,19050101,19870101,MAIN,rule,high
ferrovia_verona_rovigo,UNKNOWN_PRE1885,18760101,18850101,MAIN,rule,low
ferrovia_verona_rovigo,UNKNOWN_RM_RA,18850101,19050101,MAIN,rule,low
ferrovia_verona_rovigo,FS,19050101,19870101,MAIN,rule,high
ferrovia_viareggio_firenze,UNKNOWN_PRE1885,18480101,18850101,MAIN,rule,low
ferrovia_viareggio_firenze,UNKNOWN_RM_RA,18850101,19050101,MAIN,rule,low
ferrovia_viareggio_firenze,FS,19050101,,MAIN,rule,high
ferrovia_vicenza_schio,UNKNOWN_PRE1885,18760101,18850101,MAIN,rule,low
ferrovia_vicenza_schio,UNKNOWN_RM_RA,18850101,19050101,MAIN,rule,low
ferrovia_vicenza_schio,FS,19050101,,MAIN,rule,high
ferrovia_vicenza_treviso,UNKNOWN_PRE1885,18770101,18850101,MAIN,rule,low
ferrovia_vicenza_treviso,UNKNOWN_RM_RA,18850101,19050101,MAIN,rule,low
ferrovia_vicenza_treviso,FS,19050101,,MAIN,rule,high
ferrovia_viterbo_orte,UNKNOWN_RM_RA,18860101,19050101,MAIN,rule,low
ferrovia_viterbo_orte,FS,19050101,,MAIN,rule,high
linea_6,FS,19050101,,MAIN,rule,high
linea_m3,FS,19050101,,MAIN,rule,high
metropolitana_di_genova,FS,19050101,,MAIN,rule,high
passante_ferroviario_di_milano,FS,19050101,,MAIN,rule,high
prealpino_sant_eufemia,FS,19050101,,MAIN,rule,high
